Exam,Unit,Subject,Month,Year,Paper,Number,Section,Topic,Difficulty,Correct,Question,Answer A,Answer B,Answer C,Answer D,Validated Question Code,Validated Answer A Code,Validated Answer B Code,Validated Answer C Code,Validated Answer D Code,Q,A,B,C,D,Question Diagram Path Prefix,A Diagram Path Prefix,B Diagram Path Prefix,C Diagram Path Prefix,D Diagram Path Prefix
cape,2,PureMathematics,May,2024,1,4,Complex Numbers and Calculus 2,Complex Numbers,1,B,\text{The modulus of the complex number } ( 6 + 3i ) \text{ is},-3,3 \sqrt{5},5 \sqrt{3},9 \sqrt{5},"LaTeX(""The modulus of the complex number $( 6 + 3i )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 3 )"").parsingMode(.onlyEquations)","LaTeX(""$3 \\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$5 \\sqrt{3}$"").parsingMode(.onlyEquations)","LaTeX(""$9 \\sqrt{5}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( 6 + 3i )$ is,-3,$3 \sqrt{5}$,$5 \sqrt{3}$,$9 \sqrt{5}$,cape_2_puremathematics_may_2024_1_4,cape_2_puremathematics_may_2024_1_4_a,cape_2_puremathematics_may_2024_1_4_b,cape_2_puremathematics_may_2024_1_4_c,cape_2_puremathematics_may_2024_1_4_d
cape,2,PureMathematics,May,2025,1,1,Complex Numbers and Calculus 2,Complex Numbers,1,A,\text{The modulus of the complex number } ( \frac{1}{2} - \frac{1}{2}i ) \text{ is},\frac{1}{\sqrt{2}},\frac{1}{2 \sqrt{2}},\sqrt{2},2 \sqrt{2},"LaTeX(""The modulus of the complex number $( \\frac{1}{2} - \\frac{1}{2}i )$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{\\sqrt{2}}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{2 \\sqrt{2}}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{2}$"").parsingMode(.onlyEquations)","LaTeX(""$2 \\sqrt{2}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( \frac{1}{2} - \frac{1}{2}i )$ is,$\frac{1}{\sqrt{2}}$,$\frac{1}{2 \sqrt{2}}$,$\sqrt{2}$,$2 \sqrt{2}$,cape_2_puremathematics_may_2025_1_1,cape_2_puremathematics_may_2025_1_1_a,cape_2_puremathematics_may_2025_1_1_b,cape_2_puremathematics_may_2025_1_1_c,cape_2_puremathematics_may_2025_1_1_d
cape,2,PureMathematics,May,2025,1,10,Complex Numbers and Calculus 2,Differentiation 2,2,A,( \frac{d}{dx} \cos^{-1} [ \frac{x}{2} ] ) \text{ is equal to},-\frac{1}{\sqrt{4-x^2}},-\frac{2}{\sqrt{4-x^2}},-2 \sqrt{4-x^2},\sqrt{4-x^2},"LaTeX(""$( \\frac{d}{dx} \\cos^{-1} [ \\frac{x}{2} ] )$ is equal to"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{1}{\\sqrt{4-x^2}}$"").parsingMode(.onlyEquations)","LaTeX(""$-\\frac{2}{\\sqrt{4-x^2}}$"").parsingMode(.onlyEquations)","LaTeX(""$-2 \\sqrt{4-x^2}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{4-x^2}$"").parsingMode(.onlyEquations)",$( \frac{d}{dx} \cos^{-1} [ \frac{x}{2} ] )$ is equal to,$-\frac{1}{\sqrt{4-x^2}}$,$-\frac{2}{\sqrt{4-x^2}}$,$-2 \sqrt{4-x^2}$,$\sqrt{4-x^2}$,cape_2_puremathematics_may_2025_1_10,cape_2_puremathematics_may_2025_1_10_a,cape_2_puremathematics_may_2025_1_10_b,cape_2_puremathematics_may_2025_1_10_c,cape_2_puremathematics_may_2025_1_10_d
cape,2,PureMathematics,May,2026,1,4,Complex Numbers and Calculus 2,Complex Numbers,1,B,\text{The modulus of the complex number } ( 6 + 3i ) \text{ is},-3,3 \sqrt{5},5 \sqrt{3},9 \sqrt{5},"LaTeX(""The modulus of the complex number $( 6 + 3i )$ is"").parsingMode(.onlyEquations)","LaTeX(""( 3 )"").parsingMode(.onlyEquations)","LaTeX(""$3 \\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$5 \\sqrt{3}$"").parsingMode(.onlyEquations)","LaTeX(""$9 \\sqrt{5}$"").parsingMode(.onlyEquations)",The modulus of the complex number $( 6 + 3i )$ is,-3,$3 \sqrt{5}$,$5 \sqrt{3}$,$9 \sqrt{5}$,cape_2_puremathematics_may_2026_1_4,cape_2_puremathematics_may_2026_1_4_a,cape_2_puremathematics_may_2026_1_4_b,cape_2_puremathematics_may_2026_1_4_c,cape_2_puremathematics_may_2026_1_4_d
cape,1,Physics,May,2020,1,14,"Mechanics, Waves and Properties of Matter",Motions,2,D,"\text{If } ( m ) \text{ is the mass of an object and } ( E ) \text{ its kinetic energy, then its linear momentum is}",m\sqrt{E},2 \sqrt{m}E,\sqrt{m}E,\sqrt{2mE},"LaTeX(""If $( m )$ is the mass of an object and $( E )$ its kinetic energy, then its linear momentum is"").parsingMode(.onlyEquations)","LaTeX(""$m\\sqrt{E}$"").parsingMode(.onlyEquations)","LaTeX(""$2 \\sqrt{m}E$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{m}E$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{2mE}$"").parsingMode(.onlyEquations)","If $( m )$ is the mass of an object and $( E )$ its kinetic energy, then its linear momentum is",$m\sqrt{E}$,$2 \sqrt{m}E$,$\sqrt{m}E$,$\sqrt{2mE}$,cape_1_physics_may_2020_1_14,cape_1_physics_may_2020_1_14_a,cape_1_physics_may_2020_1_14_b,cape_1_physics_may_2020_1_14_c,cape_1_physics_may_2020_1_14_d
cape,1,PureMathematics,May,2025,1,5,"Algebra, Geometry and Calculus",The Real Number System,2,C,3 \sqrt{20} - \sqrt{45} + \sqrt{80} \text{ can be simplified as},-\sqrt{5},\sqrt{5},7 \sqrt{5},13 \sqrt{5},"LaTeX(""$3 \\sqrt{20} - \\sqrt{45} + \\sqrt{80}$ can be simplified as"").parsingMode(.onlyEquations)","LaTeX(""$-\\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$\\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$7 \\sqrt{5}$"").parsingMode(.onlyEquations)","LaTeX(""$13 \\sqrt{5}$"").parsingMode(.onlyEquations)",$3 \sqrt{20} - \sqrt{45} + \sqrt{80}$ can be simplified as,$-\sqrt{5}$,$\sqrt{5}$,$7 \sqrt{5}$,$13 \sqrt{5}$,cape_1_puremathematics_may_2025_1_5,cape_1_puremathematics_may_2025_1_5_a,cape_1_puremathematics_may_2025_1_5_b,cape_1_puremathematics_may_2025_1_5_c,cape_1_puremathematics_may_2025_1_5_d
cape,1,PureMathematics,May,2025,1,26,"Trigonometry, Coordinate Geometry and Vectors",Vectors,2,A,"\text{Given that the position vectors of the points P and Q are } \begin{pmatrix} 2 \ -1 \ 8 \end{pmatrix} \text{ and } \begin{pmatrix} -1 \ 4 \ 4 \end{pmatrix} \text{ respectively, the length of the vector PQ is}",5 \sqrt{2},3 \sqrt{2},4,3,"LaTeX(""Given that the position vectors of the points P and Q are $\\begin{pmatrix} 2 \\ -1 \\ 8 \\end{pmatrix}$ and $\\begin{pmatrix} -1 \\ 4 \\ 4 \\end{pmatrix}$ respectively, the length of the vector PQ is"").parsingMode(.onlyEquations)","LaTeX(""$5 \\sqrt{2}$"").parsingMode(.onlyEquations)","LaTeX(""$3 \\sqrt{2}$"").parsingMode(.onlyEquations)","LaTeX(""$4$"").parsingMode(.onlyEquations)","LaTeX(""$3$"").parsingMode(.onlyEquations)","Given that the position vectors of the points P and Q are $\begin{pmatrix} 2 \ -1 \ 8 \end{pmatrix}$ and $\begin{pmatrix} -1 \ 4 \ 4 \end{pmatrix}$ respectively, the length of the vector PQ is",$5 \sqrt{2}$,$3 \sqrt{2}$,$4$,$3$,cape_1_puremathematics_may_2025_1_26,cape_1_puremathematics_may_2025_1_26_a,cape_1_puremathematics_may_2025_1_26_b,cape_1_puremathematics_may_2025_1_26_c,cape_1_puremathematics_may_2025_1_26_d
cape,1,PureMathematics,May,2025,1,27,"Trigonometry, Coordinate Geometry and Vectors",Vectors,2,D,\text{The vector } \mathbf{u} \text{ has magnitude } 4 \sqrt{5} \text{ units and is parallel to the vector } \mathbf{v} = \mathbf{i} - 2\mathbf{j} \text{. A unit vector parallel to } \mathbf{u} \text{ is},\frac{\sqrt{5}}{20}(\mathbf{i} - 2\mathbf{j}),\frac{4}{\sqrt{5}}(\mathbf{i} - 2\mathbf{j}),4 \sqrt{5}(\mathbf{i} - 2\mathbf{j}),\frac{1}{\sqrt{5}}(\mathbf{i} - 2\mathbf{j}),"LaTeX(""The vector $\\mathbf{u}$ has magnitude $4 \\sqrt{5}$ units and is parallel to the vector $\\mathbf{v} = \\mathbf{i} - 2\\mathbf{j}$. A unit vector parallel to $\\mathbf{u}$ is"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{\\sqrt{5}}{20}(\\mathbf{i} - 2\\mathbf{j})$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{4}{\\sqrt{5}}(\\mathbf{i} - 2\\mathbf{j})$"").parsingMode(.onlyEquations)","LaTeX(""$4 \\sqrt{5}(\\mathbf{i} - 2\\mathbf{j})$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{1}{\\sqrt{5}}(\\mathbf{i} - 2\\mathbf{j})$"").parsingMode(.onlyEquations)",The vector $\mathbf{u}$ has magnitude $4 \sqrt{5}$ units and is parallel to the vector $\mathbf{v} = \mathbf{i} - 2\mathbf{j}$. A unit vector parallel to $\mathbf{u}$ is,$\frac{\sqrt{5}}{20}(\mathbf{i} - 2\mathbf{j})$,$\frac{4}{\sqrt{5}}(\mathbf{i} - 2\mathbf{j})$,$4 \sqrt{5}(\mathbf{i} - 2\mathbf{j})$,$\frac{1}{\sqrt{5}}(\mathbf{i} - 2\mathbf{j})$,cape_1_puremathematics_may_2025_1_27,cape_1_puremathematics_may_2025_1_27_a,cape_1_puremathematics_may_2025_1_27_b,cape_1_puremathematics_may_2025_1_27_c,cape_1_puremathematics_may_2025_1_27_d
cape,1,PureMathematics,May,2025,1,37,Calculus 1,Differentiation 1,3,A,"\text{Given that } y = (2x - 1)^4 , \frac{d^2y}{dx^2} =",48 \sqrt{y},24 \sqrt{y},16 \sqrt{y},8 \sqrt{y},"LaTeX(""Given that $y = (2x - 1)^4$, $\\frac{d^2y}{dx^2} =$"").parsingMode(.onlyEquations)","LaTeX(""$48 \\sqrt{y}$"").parsingMode(.onlyEquations)","LaTeX(""$24 \\sqrt{y}$"").parsingMode(.onlyEquations)","LaTeX(""$16 \\sqrt{y}$"").parsingMode(.onlyEquations)","LaTeX(""$8 \\sqrt{y}$"").parsingMode(.onlyEquations)","Given that $y = (2x - 1)^4$, $\frac{d^2y}{dx^2} =$",$48 \sqrt{y}$,$24 \sqrt{y}$,$16 \sqrt{y}$,$8 \sqrt{y}$,cape_1_puremathematics_may_2025_1_37,cape_1_puremathematics_may_2025_1_37_a,cape_1_puremathematics_may_2025_1_37_b,cape_1_puremathematics_may_2025_1_37_c,cape_1_puremathematics_may_2025_1_37_d
cape,1,PureMathematics,May,2024,1,1,"Algebra, Geometry and Calculus",Algebraic Operations,2,A,\frac{\sqrt{x}-\sqrt{y}}{\sqrt{x}+\sqrt{y}} \text{ may be expressed as},\frac{x+y-2 \sqrt{xy}}{x-y},\frac{x-y+2 \sqrt{xy}}{x+y},\frac{x+y}{x-y},\frac{x-y}{x+y},"LaTeX(""$\\frac{\\sqrt{x}-\\sqrt{y}}{\\sqrt{x}+\\sqrt{y}}$ may be expressed as"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{x+y-2 \\sqrt{xy}}{x-y}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{x-y+2 \\sqrt{xy}}{x+y}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{x+y}{x-y}$"").parsingMode(.onlyEquations)","LaTeX(""$\\frac{x-y}{x+y}$"").parsingMode(.onlyEquations)",$\frac{\sqrt{x}-\sqrt{y}}{\sqrt{x}+\sqrt{y}}$ may be expressed as,$\frac{x+y-2 \sqrt{xy}}{x-y}$,$\frac{x-y+2 \sqrt{xy}}{x+y}$,$\frac{x+y}{x-y}$,$\frac{x-y}{x+y}$,cape_1_puremathematics_may_2024_1_1,cape_1_puremathematics_may_2024_1_1_a,cape_1_puremathematics_may_2024_1_1_b,cape_1_puremathematics_may_2024_1_1_c,cape_1_puremathematics_may_2024_1_1_d
