Exam,Unit,Subject,Month,Year,Paper,Number,Part,Subpart,Section,Topic,Difficulty,Marks,Question,SVG,Validated Question Code,Q,Question Diagram Path Prefix
cape,2,PureMathematics,May,2026,2,1,a,i,Complex Numbers and Calculus 2,Complex Numbers,2,4,\text{Express the complex number }  \frac{5 - 3i}{4 + 2i}  \text{ in the form }  x + yi  \text{ where }  x  \text{ and }  y  \text{ are real numbers.},,"LaTeX(""Express the complex number  $\\frac{5 - 3i}{4 + 2i}$  in the form  $x + yi$  where  $x$  and  $y$  are real numbers."").parsingMode(.onlyEquations)",Express the complex number  $\frac{5 - 3i}{4 + 2i}$  in the form  $x + yi$  where  $x$  and  $y$  are real numbers.,cape_2_puremathematics_may_2026_2_1_a_i
cape,2,PureMathematics,May,2026,2,1,b,i,Complex Numbers and Calculus 2,Complex Numbers,2,4,"\text{Let }  z = -1 + \sqrt{3} i \text{.}
\text{Calculate the EXACT value of}
\text{a) }  |z| 
\text{b) }  \arg z",,"LaTeX(""Let  $z = -1 + \\sqrt{3} i$.\nCalculate the EXACT value of\na)  $|z|$\nb)  $\\arg z$"").parsingMode(.onlyEquations)","Let  $z = -1 + \sqrt{3} i$.
Calculate the EXACT value of
a)  $|z|$
b)  $\arg z$",cape_2_puremathematics_may_2026_2_1_b_i
cape,2,PureMathematics,May,2026,2,1,b,ii,Complex Numbers and Calculus 2,Complex Numbers,3,4,"\text{Hence, use de Moivre's theorem to determine the value of }  z^{12} \text{.}",,"LaTeX(""Hence, use de Moivre's theorem to determine the value of  $z^{12}$."").parsingMode(.onlyEquations)","Hence, use de Moivre's theorem to determine the value of  $z^{12}$.",cape_2_puremathematics_may_2026_2_1_b_ii
cape,2,PureMathematics,May,2026,2,1,c,i,Complex Numbers and Calculus 2,Differentiation 2,3,6,\text{The equation of a curve is }  y^3 + 3x^2y + x = 6 \text{. Determine an expression for }  \frac{dy}{dx}  \text{ in terms of }  x  \text{ and }  y \text{.},,"LaTeX(""The equation of a curve is  $y^3 + 3x^2y + x = 6$. Determine an expression for  $\\frac{dy}{dx}$  in terms of  $x$  and  $y$."").parsingMode(.onlyEquations)",The equation of a curve is  $y^3 + 3x^2y + x = 6$. Determine an expression for  $\frac{dy}{dx}$  in terms of  $x$  and  $y$.,cape_2_puremathematics_may_2026_2_1_c_i
cape,2,PureMathematics,May,2026,2,1,d,i,Complex Numbers and Calculus 2,Differentiation 2,4,7,\text{Show that }  y = -x + \frac{\pi}{2}  \text{ is the tangent to the curve }  y = \ln \sqrt{1 + \sin 2x}  \text{ at the point where }  x = \frac{\pi}{2} \text{.},,"LaTeX(""Show that  $y = -x + \\frac{\\pi}{2}$  is the tangent to the curve  $y = \\ln \\sqrt{1 + \\sin 2x}$  at the point where  $x = \\frac{\\pi}{2}$."").parsingMode(.onlyEquations)",Show that  $y = -x + \frac{\pi}{2}$  is the tangent to the curve  $y = \ln \sqrt{1 + \sin 2x}$  at the point where  $x = \frac{\pi}{2}$.,cape_2_puremathematics_may_2026_2_1_d_i
cape,2,PureMathematics,May,2026,2,2,a,i,Complex Numbers and Calculus 2,Integration 2,3,4,"\text{Apply the trapezium rule with THREE equal intervals to estimate the value of }  \int_0^{\frac{\pi}{3}} \tan x \, dx \text{.}",,"LaTeX(""Apply the trapezium rule with THREE equal intervals to estimate the value of  $\\int_0^{\\frac{\\pi}{3}} \\tan x \\, dx$."").parsingMode(.onlyEquations)","Apply the trapezium rule with THREE equal intervals to estimate the value of  $\int_0^{\frac{\pi}{3}} \tan x \, dx$.",cape_2_puremathematics_may_2026_2_2_a_i
cape,2,PureMathematics,May,2026,2,2,a,ii,Complex Numbers and Calculus 2,Integration 2,3,4,"\text{Using an appropriate trigonometric identity, determine the EXACT value of }  \int_0^{\frac{\pi}{3}} \tan x \, dx \text{.}",,"LaTeX(""Using an appropriate trigonometric identity, determine the EXACT value of  $\\int_0^{\\frac{\\pi}{3}} \\tan x \\, dx$."").parsingMode(.onlyEquations)","Using an appropriate trigonometric identity, determine the EXACT value of  $\int_0^{\frac{\pi}{3}} \tan x \, dx$.",cape_2_puremathematics_may_2026_2_2_a_ii
cape,2,PureMathematics,May,2026,2,2,b,i,Complex Numbers and Calculus 2,Integration 2,4,7,"\text{Use the substitution }  u = \cos^{-1} \frac{1}{2}x  \text{ to show that }  \int_0^1 \frac{\cos^{-1} \frac{1}{2}x}{\sqrt{4 - x^2}} \, dx = \frac{5\pi^2}{72} \text{.}",,"LaTeX(""Use the substitution  $u = \\cos^{-1} \\frac{1}{2}x$  to show that  $\\int_0^1 \\frac{\\cos^{-1} \\frac{1}{2}x}{\\sqrt{4 - x^2}} \\, dx = \\frac{5\\pi^2}{72}$."").parsingMode(.onlyEquations)","Use the substitution  $u = \cos^{-1} \frac{1}{2}x$  to show that  $\int_0^1 \frac{\cos^{-1} \frac{1}{2}x}{\sqrt{4 - x^2}} \, dx = \frac{5\pi^2}{72}$.",cape_2_puremathematics_may_2026_2_2_b_i
cape,2,PureMathematics,May,2026,2,2,c,i,Complex Numbers and Calculus 2,Integration 2,4,6,"\text{It is given that }  I_n = \int_0^{\pi} \sin^n \theta \, d\theta  \text{ for integers }  n \ge 0 \text{. Show that }  I_n = \frac{n-1}{n} I_{n-2} \text{.}",,"LaTeX(""It is given that  $I_n = \\int_0^{\\pi} \\sin^n \\theta \\, d\\theta$  for integers  $n \\ge 0$. Show that  $I_n = \\frac{n-1}{n} I_{n-2}$."").parsingMode(.onlyEquations)","It is given that  $I_n = \int_0^{\pi} \sin^n \theta \, d\theta$  for integers  $n \ge 0$. Show that  $I_n = \frac{n-1}{n} I_{n-2}$.",cape_2_puremathematics_may_2026_2_2_c_i
cape,2,PureMathematics,May,2026,2,2,c,ii,Complex Numbers and Calculus 2,Integration 2,3,4,"\text{a) Verify that }  I_1 = 2 
\text{b) Hence, determine the value of }  I_7 \text{.}",,"LaTeX(""a) Verify that  $I_1 = 2$\nb) Hence, determine the value of  $I_7$."").parsingMode(.onlyEquations)","a) Verify that  $I_1 = 2$
b) Hence, determine the value of  $I_7$.",cape_2_puremathematics_may_2026_2_2_c_ii
cape,2,PureMathematics,May,2026,2,3,a,i,"Sequences, Series and Approximations",Sequences,1,2,"\text{Consider the sequence }  \{ a_n \}  \text{ where }  a_n = \frac{1}{3^{n-1}}  \text{ for positive integers }  n \text{. State the values of the first FOUR terms of the sequence, }  a_1, a_2, a_3  \text{ and }  a_4 \text{.}",,"LaTeX(""Consider the sequence  $\\{ a_n \\}$  where  $a_n = \\frac{1}{3^{n-1}}$  for positive integers  $n$. State the values of the first FOUR terms of the sequence,  $a_1, a_2, a_3$  and  $a_4$."").parsingMode(.onlyEquations)","Consider the sequence  $\{ a_n \}$  where  $a_n = \frac{1}{3^{n-1}}$  for positive integers  $n$. State the values of the first FOUR terms of the sequence,  $a_1, a_2, a_3$  and  $a_4$.",cape_2_puremathematics_may_2026_2_3_a_i
cape,2,PureMathematics,May,2026,2,3,a,ii,"Sequences, Series and Approximations",Sequences,2,2,\text{Show that the sequence converges.},,"LaTeX(""Show that the sequence converges."").parsingMode(.onlyEquations)",Show that the sequence converges.,cape_2_puremathematics_may_2026_2_3_a_ii
cape,2,PureMathematics,May,2026,2,3,b,i,"Sequences, Series and Approximations",Series,2,2,\text{Express the series }  4 + 4^2 + 4^3 + \dots + 4^n  \text{ using summation notation.},,"LaTeX(""Express the series  $4 + 4^2 + 4^3 + \\dots + 4^n$  using summation notation."").parsingMode(.onlyEquations)",Express the series  $4 + 4^2 + 4^3 + \dots + 4^n$  using summation notation.,cape_2_puremathematics_may_2026_2_3_b_i
cape,2,PureMathematics,May,2026,2,3,b,ii,"Sequences, Series and Approximations",Series,4,8,\text{Prove by mathematical induction that }  4 + 4^2 + 4^3 + \dots + 4^n = \frac{4}{3}(4^n - 1)  \text{ for all positive integers }  n \text{.},,"LaTeX(""Prove by mathematical induction that  $4 + 4^2 + 4^3 + \\dots + 4^n = \\frac{4}{3}(4^n - 1)$  for all positive integers  $n$."").parsingMode(.onlyEquations)",Prove by mathematical induction that  $4 + 4^2 + 4^3 + \dots + 4^n = \frac{4}{3}(4^n - 1)$  for all positive integers  $n$.,cape_2_puremathematics_may_2026_2_3_b_ii
cape,2,PureMathematics,May,2026,2,3,c,i,"Sequences, Series and Approximations",Series,2,3,\text{Determine the values of }  A  \text{ and }  B  \text{ such that }  \frac{4}{(2r+1)(2r+3)} = \frac{A}{(2r+1)} + \frac{B}{(2r+3)} \text{.},,"LaTeX(""Determine the values of  $A$  and  $B$  such that  $\\frac{4}{(2r+1)(2r+3)} = \\frac{A}{(2r+1)} + \\frac{B}{(2r+3)}$."").parsingMode(.onlyEquations)",Determine the values of  $A$  and  $B$  such that  $\frac{4}{(2r+1)(2r+3)} = \frac{A}{(2r+1)} + \frac{B}{(2r+3)}$.,cape_2_puremathematics_may_2026_2_3_c_i
cape,2,PureMathematics,May,2026,2,3,c,ii,"Sequences, Series and Approximations",Series,3,5,"\text{Hence, use the method of differences to show that }  \sum_{r=1}^n \frac{4}{(2r+1)(2r+3)} = 2 \left( \frac{1}{3} - \frac{1}{2n+3} \right) \text{.}",,"LaTeX(""Hence, use the method of differences to show that  $\\sum_{r=1}^n \\frac{4}{(2r+1)(2r+3)} = 2 \\left( \\frac{1}{3} - \\frac{1}{2n+3} \\right)$."").parsingMode(.onlyEquations)","Hence, use the method of differences to show that  $\sum_{r=1}^n \frac{4}{(2r+1)(2r+3)} = 2 \left( \frac{1}{3} - \frac{1}{2n+3} \right)$.",cape_2_puremathematics_may_2026_2_3_c_ii
cape,2,PureMathematics,May,2026,2,3,c,iii,"Sequences, Series and Approximations",Series,2,3,"\text{Hence, calculate }  \sum_{r=1}^{\infty} \frac{4}{(2r+1)(2r+3)} \text{.}",,"LaTeX(""Hence, calculate  $\\sum_{r=1}^{\\infty} \\frac{4}{(2r+1)(2r+3)}$."").parsingMode(.onlyEquations)","Hence, calculate  $\sum_{r=1}^{\infty} \frac{4}{(2r+1)(2r+3)}$.",cape_2_puremathematics_may_2026_2_3_c_iii
cape,2,PureMathematics,May,2026,2,4,a,i,"Sequences, Series and Approximations",Series,2,3,\text{Obtain the Maclaurin series expansion of }  f(x) = e^{2x}  \text{ up to and including the term in }  x^4 \text{.},,"LaTeX(""Obtain the Maclaurin series expansion of  $f(x) = e^{2x}$  up to and including the term in  $x^4$."").parsingMode(.onlyEquations)",Obtain the Maclaurin series expansion of  $f(x) = e^{2x}$  up to and including the term in  $x^4$.,cape_2_puremathematics_may_2026_2_4_a_i
cape,2,PureMathematics,May,2026,2,4,b,i,"Sequences, Series and Approximations",The Binomial Theorem,3,6,"\text{Obtain the binomial expansion of }  (8+x)^{\frac{1}{3}}  \text{ in ascending powers of }  x \text{, up to and including the term in }  x^2 \text{. State the values of }  x  \text{ for which the expansion is valid.}",,"LaTeX(""Obtain the binomial expansion of  $(8+x)^{\\frac{1}{3}}$  in ascending powers of  $x$, up to and including the term in  $x^2$. State the values of  $x$  for which the expansion is valid."").parsingMode(.onlyEquations)","Obtain the binomial expansion of  $(8+x)^{\frac{1}{3}}$  in ascending powers of  $x$, up to and including the term in  $x^2$. State the values of  $x$  for which the expansion is valid.",cape_2_puremathematics_may_2026_2_4_b_i
cape,2,PureMathematics,May,2026,2,4,c,i,"Sequences, Series and Approximations",Roots of Equations,2,3,"\text{Using the intermediate value theorem, show that }  \cos x = xe^{-x}  \text{ has a root between }  x = 1  \text{ and }  x = 1.5 \text{.}",,"LaTeX(""Using the intermediate value theorem, show that  $\\cos x = xe^{-x}$  has a root between  $x = 1$  and  $x = 1.5$."").parsingMode(.onlyEquations)","Using the intermediate value theorem, show that  $\cos x = xe^{-x}$  has a root between  $x = 1$  and  $x = 1.5$.",cape_2_puremathematics_may_2026_2_4_c_i
cape,2,PureMathematics,May,2026,2,4,c,ii,"Sequences, Series and Approximations",Roots of Equations,3,6,"\text{Hence, use the method of interval bisection to determine, correct to 1 decimal place, the approximate root of }  \cos x = xe^{-x}  \text{ which lies in the interval }  (1, 1.5) \text{.}",,"LaTeX(""Hence, use the method of interval bisection to determine, correct to 1 decimal place, the approximate root of  $\\cos x = xe^{-x}$  which lies in the interval  $(1, 1.5)$."").parsingMode(.onlyEquations)","Hence, use the method of interval bisection to determine, correct to 1 decimal place, the approximate root of  $\cos x = xe^{-x}$  which lies in the interval  $(1, 1.5)$.",cape_2_puremathematics_may_2026_2_4_c_ii
cape,2,PureMathematics,May,2026,2,4,d,i,"Sequences, Series and Approximations",Roots of Equations,3,4,"\text{The equation }  x^4 + x - 13 = 0  \text{ has a root in the interval }  (1, 2) \text{. Use the Newton–Raphson formula to show that for }  n \ge 1 \text{, with a given initial estimate }  x_1 \text{, }  x_{n+1} = \frac{3x_n^4 + 13}{4x_n^3 + 1} \text{.}",,"LaTeX(""The equation  $x^4 + x - 13 = 0$  has a root in the interval  $(1, 2)$. Use the Newton–Raphson formula to show that for  $n \\ge 1$, with a given initial estimate  $x_1$,  $x_{n+1} = \\frac{3x_n^4 + 13}{4x_n^3 + 1}$."").parsingMode(.onlyEquations)","The equation  $x^4 + x - 13 = 0$  has a root in the interval  $(1, 2)$. Use the Newton–Raphson formula to show that for  $n \ge 1$, with a given initial estimate  $x_1$,  $x_{n+1} = \frac{3x_n^4 + 13}{4x_n^3 + 1}$.",cape_2_puremathematics_may_2026_2_4_d_i
cape,2,PureMathematics,May,2026,2,4,d,ii,"Sequences, Series and Approximations",Roots of Equations,3,3,"\text{Hence, or otherwise, use the Newton–Raphson method with the initial estimate }  x_1 = 2  \text{ to calculate, to 2 decimal places, a new estimate, }  x_4 \text{, of the root.}",,"LaTeX(""Hence, or otherwise, use the Newton–Raphson method with the initial estimate  $x_1 = 2$  to calculate, to 2 decimal places, a new estimate,  $x_4$, of the root."").parsingMode(.onlyEquations)","Hence, or otherwise, use the Newton–Raphson method with the initial estimate  $x_1 = 2$  to calculate, to 2 decimal places, a new estimate,  $x_4$, of the root.",cape_2_puremathematics_may_2026_2_4_d_ii
cape,2,PureMathematics,May,2026,2,5,a,i,Counting Matricies and Differential Equations,Counting,1,2,\text{A fair coin that can land on heads (}  H  \text{) or tails (}  T  \text{) and a fair die whose sides are numbered 1 to 6 are thrown simultaneously. Determine the sample space of the possible outcomes of the experiment.},,"LaTeX(""A fair coin that can land on heads ( $H$ ) or tails ( $T$ ) and a fair die whose sides are numbered 1 to 6 are thrown simultaneously. Determine the sample space of the possible outcomes of the experiment."").parsingMode(.onlyEquations)",A fair coin that can land on heads ( $H$ ) or tails ( $T$ ) and a fair die whose sides are numbered 1 to 6 are thrown simultaneously. Determine the sample space of the possible outcomes of the experiment.,cape_2_puremathematics_may_2026_2_5_a_i
cape,2,PureMathematics,May,2026,2,5,a,ii,Counting Matricies and Differential Equations,Counting,2,2,\text{Let }  F  \text{ be the event that the die lands on a 5. Calculate }  P(H | F) \text{.},,"LaTeX(""Let  $F$  be the event that the die lands on a 5. Calculate  $P(H | F)$."").parsingMode(.onlyEquations)",Let  $F$  be the event that the die lands on a 5. Calculate  $P(H | F)$.,cape_2_puremathematics_may_2026_2_5_a_ii
cape,2,PureMathematics,May,2026,2,5,a,iii,Counting Matricies and Differential Equations,Counting,2,3,"\text{State, with reason, whether }  H  \text{ and }  F  \text{ are independent events.}",,"LaTeX(""State, with reason, whether  $H$  and  $F$  are independent events."").parsingMode(.onlyEquations)","State, with reason, whether  $H$  and  $F$  are independent events.",cape_2_puremathematics_may_2026_2_5_a_iii
cape,2,PureMathematics,May,2026,2,5,b,i,Counting Matricies and Differential Equations,Counting,2,2,\text{Calculate the number of ways of arranging 3 letters from the first 6 letters of the alphabet.},,"LaTeX(""Calculate the number of ways of arranging 3 letters from the first 6 letters of the alphabet."").parsingMode(.onlyEquations)",Calculate the number of ways of arranging 3 letters from the first 6 letters of the alphabet.,cape_2_puremathematics_may_2026_2_5_b_i
cape,2,PureMathematics,May,2026,2,5,b,ii,Counting Matricies and Differential Equations,Counting,2,3,\text{ALL the letters of the word SUCCESS.},,"LaTeX(""ALL the letters of the word SUCCESS."").parsingMode(.onlyEquations)",ALL the letters of the word SUCCESS.,cape_2_puremathematics_may_2026_2_5_b_ii
cape,2,PureMathematics,May,2026,2,5,c,i,Counting Matricies and Differential Equations,Counting,3,4,\text{A committee consists of 5 Mathematics teachers and 7 English teachers. Determine in how many ways a sub-committee may be formed if 2 Mathematics teachers and 3 English teachers are selected in no particular order.},,"LaTeX(""A committee consists of 5 Mathematics teachers and 7 English teachers. Determine in how many ways a sub-committee may be formed if 2 Mathematics teachers and 3 English teachers are selected in no particular order."").parsingMode(.onlyEquations)",A committee consists of 5 Mathematics teachers and 7 English teachers. Determine in how many ways a sub-committee may be formed if 2 Mathematics teachers and 3 English teachers are selected in no particular order.,cape_2_puremathematics_may_2026_2_5_c_i
cape,2,PureMathematics,May,2026,2,5,d,i,Counting Matricies and Differential Equations,Matricies and Systems of Linear Equations,2,4,\text{A matrix is given by }  A = \begin{pmatrix} 1 & 2 & 5 \ 3 & 0 & 2 \ -1 & 4 & 6 \end{pmatrix} \text{. Evaluate the determinant of }  A \text{.},,"LaTeX(""A matrix is given by  $A = \\begin{pmatrix} 1 & 2 & 5 \\ 3 & 0 & 2 \\ -1 & 4 & 6 \\end{pmatrix}$. Evaluate the determinant of  $A$."").parsingMode(.onlyEquations)",A matrix is given by  $A = \begin{pmatrix} 1 & 2 & 5 \ 3 & 0 & 2 \ -1 & 4 & 6 \end{pmatrix}$. Evaluate the determinant of  $A$.,cape_2_puremathematics_may_2026_2_5_d_i
cape,2,PureMathematics,May,2026,2,5,e,i,Counting Matricies and Differential Equations,Matricies and Systems of Linear Equations,3,5,"\text{A system of linear equations is given as}
 x + z = 1 
 y + z = 2 
 2y + z = 1 
\text{Determine whether the system is consistent.}",,"LaTeX(""A system of linear equations is given as\n$x + z = 1$\n$y + z = 2$\n$2y + z = 1$\nDetermine whether the system is consistent."").parsingMode(.onlyEquations)","A system of linear equations is given as
$x + z = 1$
$y + z = 2$
$2y + z = 1$
Determine whether the system is consistent.",cape_2_puremathematics_may_2026_2_5_e_i
cape,2,PureMathematics,May,2026,2,6,a,i,Counting Matricies and Differential Equations,Matricies and Systems of Linear Equations,2,4,\text{Calculate the value of }  k  \text{ for which the matrix }  \begin{pmatrix} 1 & 5 \ -2k & k+1 \end{pmatrix}  \text{ is singular.},,"LaTeX(""Calculate the value of  $k$  for which the matrix  $\\begin{pmatrix} 1 & 5 \\ -2k & k+1 \\end{pmatrix}$  is singular."").parsingMode(.onlyEquations)",Calculate the value of  $k$  for which the matrix  $\begin{pmatrix} 1 & 5 \ -2k & k+1 \end{pmatrix}$  is singular.,cape_2_puremathematics_may_2026_2_6_a_i
cape,2,PureMathematics,May,2026,2,6,b,i,Counting Matricies and Differential Equations,Differential Equations and Modelling,3,8,\text{Solve the differential equation }  \frac{dy}{dx} - y = x  \text{ to obtain the general solution.},,"LaTeX(""Solve the differential equation  $\\frac{dy}{dx} - y = x$  to obtain the general solution."").parsingMode(.onlyEquations)",Solve the differential equation  $\frac{dy}{dx} - y = x$  to obtain the general solution.,cape_2_puremathematics_may_2026_2_6_b_i
cape,2,PureMathematics,May,2026,2,6,b,ii,Counting Matricies and Differential Equations,Differential Equations and Modelling,2,2,"\text{Hence, given that }  y = 1  \text{ when }  x = 0 \text{, determine the particular solution.}",,"LaTeX(""Hence, given that  $y = 1$  when  $x = 0$, determine the particular solution."").parsingMode(.onlyEquations)","Hence, given that  $y = 1$  when  $x = 0$, determine the particular solution.",cape_2_puremathematics_may_2026_2_6_b_ii
cape,2,PureMathematics,May,2026,2,6,c,i,Counting Matricies and Differential Equations,Differential Equations and Modelling,3,5,\text{A differential equation is given by }  \frac{d^2y}{dx^2} - \frac{dy}{dx} - 2y = e^{3x} \text{. Obtain the complementary function of the differential equation.},,"LaTeX(""A differential equation is given by  $\\frac{d^2y}{dx^2} - \\frac{dy}{dx} - 2y = e^{3x}$. Obtain the complementary function of the differential equation."").parsingMode(.onlyEquations)",A differential equation is given by  $\frac{d^2y}{dx^2} - \frac{dy}{dx} - 2y = e^{3x}$. Obtain the complementary function of the differential equation.,cape_2_puremathematics_may_2026_2_6_c_i
cape,2,PureMathematics,May,2026,2,6,c,ii,Counting Matricies and Differential Equations,Differential Equations and Modelling,3,5,\text{Determine a particular integral of the differential equation.},,"LaTeX(""Determine a particular integral of the differential equation."").parsingMode(.onlyEquations)",Determine a particular integral of the differential equation.,cape_2_puremathematics_may_2026_2_6_c_ii
cape,2,PureMathematics,May,2024,2,1,a,i,Complex Numbers and Calculus 2,Differentiation 2,3,6,"\text{Given that }  3y^2 - 4xy + \sin xy = 5 \text{, determine }  \frac{dy}{dx} .",,"LaTeX(""Given that  $3y^2 - 4xy + \\sin xy = 5$, determine  $\\frac{dy}{dx}$."").parsingMode(.onlyEquations)","Given that  $3y^2 - 4xy + \sin xy = 5$, determine  $\frac{dy}{dx}$.",cape_2_puremathematics_may_2024_2_1_a_i
cape,2,PureMathematics,May,2024,2,1,b,i,Complex Numbers and Calculus 2,Differentiation 2,2,3,"\text{Differentiate }  \cos^{-1} (3x - 2) \text{, expressing your answer in its simplest form.}",,"LaTeX(""Differentiate  $\\cos^{-1} (3x - 2)$, expressing your answer in its simplest form."").parsingMode(.onlyEquations)","Differentiate  $\cos^{-1} (3x - 2)$, expressing your answer in its simplest form.",cape_2_puremathematics_may_2024_2_1_b_i
cape,2,PureMathematics,May,2024,2,1,c,i,Complex Numbers and Calculus 2,Integration 2,2,7,\text{Use partial fractions to show that }  \frac{2x+1}{3x^2 - x - 2} = \frac{3}{5(x-1)} + \frac{1}{5(3x+2)} .,,"LaTeX(""Use partial fractions to show that  $\\frac{2x+1}{3x^2 - x - 2} = \\frac{3}{5(x-1)} + \\frac{1}{5(3x+2)}$."").parsingMode(.onlyEquations)",Use partial fractions to show that  $\frac{2x+1}{3x^2 - x - 2} = \frac{3}{5(x-1)} + \frac{1}{5(3x+2)}$.,cape_2_puremathematics_may_2024_2_1_c_i
cape,2,PureMathematics,May,2024,2,1,c,ii,Complex Numbers and Calculus 2,Integration 2,2,4,"\text{Hence, or otherwise, determine }  \int \frac{2x+1}{3x^2 - x - 2} \, dx .",,"LaTeX(""Hence, or otherwise, determine  $\\int \\frac{2x+1}{3x^2 - x - 2} \\, dx$."").parsingMode(.onlyEquations)","Hence, or otherwise, determine  $\int \frac{2x+1}{3x^2 - x - 2} \, dx$.",cape_2_puremathematics_may_2024_2_1_c_ii
cape,2,PureMathematics,May,2024,2,1,d,i,Complex Numbers and Calculus 2,Differentiation 2,4,5,"\text{Given that }  x = 2t - \sin t  \text{ and }  y = 1 - \cos t \text{, determine }  \frac{d^2y}{dx^2} .",,"LaTeX(""Given that  $x = 2t - \\sin t$  and  $y = 1 - \\cos t$, determine  $\\frac{d^2y}{dx^2}$."").parsingMode(.onlyEquations)","Given that  $x = 2t - \sin t$  and  $y = 1 - \cos t$, determine  $\frac{d^2y}{dx^2}$.",cape_2_puremathematics_may_2024_2_1_d_i
cape,2,PureMathematics,May,2024,2,2,a,i,Complex Numbers and Calculus 2,Integration 2,4,8,"\text{Determine }  \int e^{2x} \sin 3x \, dx .",,"LaTeX(""Determine  $\\int e^{2x} \\sin 3x \\, dx$."").parsingMode(.onlyEquations)","Determine  $\int e^{2x} \sin 3x \, dx$.",cape_2_puremathematics_may_2024_2_2_a_i
cape,2,PureMathematics,May,2024,2,2,b,i,Complex Numbers and Calculus 2,Complex Numbers,3,7,\text{Use DeMoivre's theorem to show that }  (1 + 3i)^4 = 28 - 96i .,,"LaTeX(""Use DeMoivre's theorem to show that  $(1 + 3i)^4 = 28 - 96i$."").parsingMode(.onlyEquations)",Use DeMoivre's theorem to show that  $(1 + 3i)^4 = 28 - 96i$.,cape_2_puremathematics_may_2024_2_2_b_i
cape,2,PureMathematics,May,2024,2,2,c,i,Complex Numbers and Calculus 2,Integration 2,4,6,"\text{Derive the reduction formula}
 \int \sin^n x \, dx = -\frac{1}{n} \sin^{n-1} x \cos x + \frac{n-1}{n} \int \sin^{n-2} x \, dx .",,"LaTeX(""Derive the reduction formula\n$\\int \\sin^n x \\, dx = -\\frac{1}{n} \\sin^{n-1} x \\cos x + \\frac{n-1}{n} \\int \\sin^{n-2} x \\, dx$."").parsingMode(.onlyEquations)","Derive the reduction formula
$\int \sin^n x \, dx = -\frac{1}{n} \sin^{n-1} x \cos x + \frac{n-1}{n} \int \sin^{n-2} x \, dx$.",cape_2_puremathematics_may_2024_2_2_c_i
cape,2,PureMathematics,May,2024,2,2,c,ii,Complex Numbers and Calculus 2,Integration 2,3,4,"\text{Hence, or otherwise, show that}
 \int \sin^6 x \, dx = -\frac{1}{6} \sin^5 x \cos x - \frac{5}{24} \sin^3 x \cos x + \frac{5}{8} \int \sin^2 x \, dx .",,"LaTeX(""Hence, or otherwise, show that\n$\\int \\sin^6 x \\, dx = -\\frac{1}{6} \\sin^5 x \\cos x - \\frac{5}{24} \\sin^3 x \\cos x + \\frac{5}{8} \\int \\sin^2 x \\, dx$."").parsingMode(.onlyEquations)","Hence, or otherwise, show that
$\int \sin^6 x \, dx = -\frac{1}{6} \sin^5 x \cos x - \frac{5}{24} \sin^3 x \cos x + \frac{5}{8} \int \sin^2 x \, dx$.",cape_2_puremathematics_may_2024_2_2_c_ii
cape,2,PureMathematics,May,2024,2,3,a,i,"Sequences, Series and Approximations",Roots of Equations,3,6,"\text{Use two iterations of the Newton–Raphson method, with the initial estimate }  x_0 = 0.3 \text{, to calculate a new estimate for the root of }  f(x) = 3x^3 - 4x + 1 .",,"LaTeX(""Use two iterations of the Newton–Raphson method, with the initial estimate  $x_0 = 0.3$, to calculate a new estimate for the root of  $f(x) = 3x^3 - 4x + 1$."").parsingMode(.onlyEquations)","Use two iterations of the Newton–Raphson method, with the initial estimate  $x_0 = 0.3$, to calculate a new estimate for the root of  $f(x) = 3x^3 - 4x + 1$.",cape_2_puremathematics_may_2024_2_3_a_i
cape,2,PureMathematics,May,2024,2,3,b,i,"Sequences, Series and Approximations",Series,4,9,\text{Determine the Taylor series expansion of }  f(x) = \frac{1}{1-2x}  \text{ about }  x = 3  \text{ up to and including the term in }  x^2 .,,"LaTeX(""Determine the Taylor series expansion of  $f(x) = \\frac{1}{1-2x}$  about  $x = 3$  up to and including the term in  $x^2$."").parsingMode(.onlyEquations)",Determine the Taylor series expansion of  $f(x) = \frac{1}{1-2x}$  about  $x = 3$  up to and including the term in  $x^2$.,cape_2_puremathematics_may_2024_2_3_b_i
cape,2,PureMathematics,May,2024,2,3,c,i,"Sequences, Series and Approximations",The Binomial Theorem,3,6,\text{Obtain the binomial expansion of }  (16 - 5x)^{\frac{1}{4}}  \text{ up to and including the term in }  x^2 .,,"LaTeX(""Obtain the binomial expansion of  $(16 - 5x)^{\\frac{1}{4}}$  up to and including the term in  $x^2$."").parsingMode(.onlyEquations)",Obtain the binomial expansion of  $(16 - 5x)^{\frac{1}{4}}$  up to and including the term in  $x^2$.,cape_2_puremathematics_may_2024_2_3_c_i
